ダウンロードした時刻：2026/05/27 16:02:17

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024/9/25,26.4,8,1,31.1,8,1,22.8,8,1
2024/9/26,27.9,8,1,32.1,8,1,23.8,8,1
2024/9/27,28.3,8,1,32.1,8,1,26.0,8,1
2024/9/28,27.4,8,1,30.0,8,1,25.7,8,1
2024/9/29,26.1,8,1,27.8,8,1,24.6,8,1
2024/9/30,26.2,8,1,29.0,8,1,24.0,8,1
2024/10/1,26.6,8,1,30.9,8,1,23.2,8,1
2024/10/2,26.3,8,1,29.5,8,1,24.1,8,1
2024/10/3,23.2,8,1,25.2,8,1,21.9,8,1
2024/10/4,23.3,8,1,25.0,8,1,22.1,8,1
2024/10/5,23.7,8,1,27.2,8,1,21.4,8,1
2024/10/6,24.8,8,1,28.9,8,1,20.2,8,1
2024/10/7,24.3,8,1,27.3,8,1,21.0,8,1
2024/10/8,21.4,8,1,25.3,8,1,18.1,8,1
2024/10/9,21.6,8,1,26.0,8,1,18.1,8,1
2024/10/10,22.2,8,1,25.9,8,1,19.4,8,1
2024/10/11,21.4,8,1,24.5,8,1,18.7,8,1
2024/10/12,21.6,8,1,25.4,8,1,17.3,8,1
2024/10/13,23.4,8,1,28.4,8,1,18.2,8,1
2024/10/14,24.1,8,1,28.0,8,1,21.2,8,1
2024/10/15,24.4,8,1,27.5,8,1,21.4,8,1
2024/10/16,24.7,8,1,26.9,8,1,23.0,8,1
2024/10/17,25.0,8,1,28.1,8,1,21.1,8,1
2024/10/18,25.2,8,1,28.9,8,1,24.0,8,1
2024/10/19,23.7,8,1,26.0,8,1,18.1,8,1
2024/10/20,18.3,8,1,21.0,8,1,16.9,8,1
2024/10/21,20.9,8,1,25.5,8,1,17.2,8,1
2024/10/22,22.0,8,1,25.0,8,1,19.1,8,1
2024/10/23,23.9,8,1,26.7,8,1,21.6,8,1
2024/10/24,21.8,8,1,24.0,8,1,19.3,8,1
